exchange,symbol,volume24h,run_date_utc
binance,PEPEUSDT,3749809988963.0,2026-05-26
binance,BTTCBUSD,1661577405904.0,2026-05-26
binance,PEPEUSDC,800243770179.0,2026-05-26
binance,PEPETRY,602628297924.0,2026-05-26
binance,SHIBUSDT,485319464435.0,2026-05-26
binance,BTTCUSDT,346956804156.0,2026-05-26
binance,BONKUSDT,317276672959.0,2026-05-26
binance,BTTCUSDC,173405415324.0,2026-05-26
binance,DOGSUSDT,124852177813.0,2026-05-26
binance,SHIBBUSD,118834114081.0,2026-05-26
binance,SHIBTRY,85008134657.0,2026-05-26
binance,SHIBGBP,84820329654.0,2026-05-26
binance,BONKTRY,83150065099.0,2026-05-26
binance,SHIBAUD,82769407396.0,2026-05-26
binance,SHIBUSDC,82480525114.0,2026-05-26
binance,DOGSTRY,76064435734.0,2026-05-26
binance,BTTCTRY,71058816012.0,2026-05-26
binance,HMSTRTRY,60418628436.0,2026-05-26
binance,HMSTRUSDT,54593603703.0,2026-05-26
binance,BONKBRL,51960546297.0,2026-05-26
binance,WINTRX,50724285843.8,2026-05-26
binance,LUNCUSDT,48642673434.63,2026-05-26
binance,PEPEEUR,48547114697.0,2026-05-26
binance,FLOKIUSDT,46493842351.0,2026-05-26
binance,PEPETUSD,37096841314.0,2026-05-26
binance,XECUSDT,34512828220.0,2026-05-26
binance,SHIBDOGE,32676370855.0,2026-05-26
binance,NEIROUSDT,30292380715.0,2026-05-26
binance,BONKUSDC,29844739489.0,2026-05-26
binance,1000SATSUSDT,27598318461.0,2026-05-26
binance,DENTUSDT,23804504325.0,2026-05-26
binance,LUNCTRY,22709225952.0,2026-05-26
binance,DENTTRY,22360999123.0,2026-05-26
binance,XECBUSD,20056993751.0,2026-05-26
binance,SHIBTUSD,19616647495.0,2026-05-26
binance,WINUSDT,18747850740.0,2026-05-26
binance,1000SATSTRY,15041901883.0,2026-05-26
binance,EPXUSDT,14958973905.0,2026-05-26
binance,FLOKITRY,11884164118.0,2026-05-26
binance,PEPEFDUSD,11820787888.0,2026-05-26
binance,DOGSUSDC,11667751406.0,2026-05-26
binance,PEPEBRL,10173009882.0,2026-05-26
binance,NEIROTRY,10114308557.0,2026-05-26
binance,A2ZUSDT,9525167865.0,2026-05-26
binance,DOGSFDUSD,9429361400.0,2026-05-26
binance,LUNCUSDC,6496554780.87,2026-05-26
binance,PEPEJPY,6276537613.0,2026-05-26
binance,WINBUSD,6178613508.0,2026-05-26
binance,NOTUSDT,6005408643.0,2026-05-26
binance,PEPEUSD1,5984082145.0,2026-05-26
binance,FLOKITUSD,5428437542.0,2026-05-26
binance,OOKIUSDT,5406517123.0,2026-05-26
binance,XECTRY,4174853744.0,2026-05-26
binance,FLOKIUSDC,3674462401.0,2026-05-26
binance,PONDUSDT,3574600172.0,2026-05-26
binance,PEPEU,3473257714.0,2026-05-26
binance,TROYTRY,3416546403.0,2026-05-26
binance,TROYUSDC,3339535203.0,2026-05-26
binance,HMSTRUSDC,3069567170.0,2026-05-26
binance,BONKFDUSD,3046401572.0,2026-05-26
binance,NEIROIDR,3033836280.0,2026-05-26
binance,LUNCBUSD,3011566218.71,2026-05-26
binance,NOTTRY,2813082079.0,2026-05-26
binance,PUMPUSDT,2438531192.0,2026-05-26
binance,WINBRL,2276879149.0,2026-05-26
binance,LEVERTRY,2234325090.0,2026-05-26
binance,SHIBEUR,2074950242.0,2026-05-26
binance,WINBNB,2072482110.0,2026-05-26
binance,NEIROUSDC,2054136286.0,2026-05-26
binance,LEVERUSDT,2049068736.0,2026-05-26
binance,A2ZUSDC,2044821833.0,2026-05-26
binance,SHIBBRL,1965920340.0,2026-05-26
